region,latitude_dms,longitude_dms,latitude_dd,longitude_dd,population_region
Орловская область,53.22.07,035.54.36,53.3686111111111,35.91,752315
Республика Крым,44.35.45,034.20.27,44.5958333333333,34.3408333333333,2496928
Липецкая область,53.15.46,039.30.14,53.2627777777778,39.5038888888889,1143940
Тверская область,56.54.20,033.25.09,56.9055555555556,33.4191666666667,1303663
Томская область,58.38.12,082.02.40,58.6366666666667,82.0444444444445,1077442
Республика Алтай,51.06.57,086.00.46,51.1158333333333,86.0127777777778,218828
Нижегородская область,56.53.40,045.19.08,56.8944444444444,45.3188888888889,3194169
Калужская область,54.55.30,036.23.44,54.925,36.3955555555556,1014335
Ивановская область,57.18.51,042.23.50,57.3141666666667,42.3972222222222,1027869
Краснодарский край,46.38.41,039.34.42,46.6447222222222,39.5783333333333,5809023
Курганская область,55.55.10,065.49.24,55.9194444444444,65.8233333333333,1016689
Республика Мордовия,54.55.60,045.29.30,54.9333333333333,45.4916666666667,795473
Белгородская область,50.34.51,035.54.48,50.5808333333333,35.9133333333333,1558728
Вологодская область,60.34.05,045.02.35,60.5680555555556,45.0430555555556,1169929
Республика Калмыкия,45.15.04,046.01.33,45.2511111111111,46.0258333333333,272647
Псковская область,55.56.33,029.57.31,55.9425,29.9586111111111,655842
Московская область,55.11.17,039.19.31,55.1880555555556,39.3252777777778,6797772
Республика Дагестан,42.24.36,046.50.48,42.41,46.8466666666667,3058365
Ростовская область,47.42.56,041.03.53,47.7155555555556,41.0647222222222,4230429
Сахалинская область,48.59.13,142.08.08,48.9869444444444,142.135555555556,489512
Республика Башкортостан,54.46.38,056.48.51,54.7772222222222,56.8141666666667,4083980
Ярославская область,57.21.38,038.25.20,57.3605555555556,38.4222222222222,1275917
Республика Марий Эл,56.42.28,048.01.18,56.7077777777778,48.0216666666667,682308
Пермский край,58.58.31,054.36.10,58.9752777777778,54.6027777777778,2747688
Смоленская область,54.35.19,033.12.49,54.5886111111111,33.2136111111111,1025978
Тамбовская область,52.10.23,042.25.13,52.1730555555556,42.4202777777778,1015966
Кемеровская область,52.55.23,087.31.24,52.9230555555556,87.5233333333333,2694078
Удмуртская республика,57.42.40,053.41.15,57.7111111111111,53.6875,1507390
Ленинградская область,58.40.46,029.59.35,58.6794444444444,29.9930555555556,1802126
Самарская область,54.09.26,050.49.05,54.1572222222222,50.8180555555556,3210637
Тюменская область,56.54.11,069.11.26,56.9030555555556,69.1905555555556,1478160
Кировская область,57.17.14,047.12.08,57.2872222222222,47.2022222222222,1242308
Брянская область,52.56.02,032.57.46,52.9338888888889,32.9627777777778,1194968
Новгородская область,58.49.28,033.11.32,58.8244444444444,33.1922222222222,605978
Владимирская область,55.59.30,039.19.20,55.9916666666667,39.3222222222222,1388103
Чувашская республика,55.44.08,046.09.23,55.7355555555556,46.1563888888889,1221431
Республика Татарстан,55.21.44,048.27.42,55.3622222222222,48.4616666666667,4081977
Оренбургская область,52.13.38,059.47.40,52.2272222222222,59.7944444444444,1978019
Забайкальский край,51.44.31,117.01.43,51.7419444444444,117.028611111111,1144681
Красноярский край,56.07.20,097.22.31,56.1222222222222,97.3752777777778,2817811
Тульская область,53.41.48,037.14.32,53.6966666666667,37.2422222222222,1602673
Республика Карелия,62.55.19,034.31.45,62.9219444444444,34.5291666666667,621581
Иркутская область,57.56.42,108.28.34,57.945,108.476111111111,2397763
Калининградская область,54.48.31,020.56.21,54.8086111111111,20.9391666666667,986688
Свердловская область,57.39.53,061.22.45,57.6647222222222,61.3791666666667,4470646
Курская область,51.56.58,036.57.42,51.9494444444444,36.9616666666667,1106963
Ульяновская область,54.14.43,047.53.20,54.2452777777778,47.8888888888889,1238269
Алтайский край,52.24.42,084.58.25,52.4116666666667,84.9736111111111,2332813
Республика Коми,63.57.20,047.07.31,63.9555555555556,47.1252777777778,860807
Воронежская область,50.42.48,038.53.32,50.7133333333333,38.8922222222222,2327821
Рязанская область,55.07.09,040.09.35,55.1191666666667,40.1597222222222,1146962
Архангельская область,61.29.44,047.44.16,61.4955555555556,47.7377777777778,1100247
Волгоградская область,50.22.42,041.59.22,50.3783333333333,41.9894444444444,2552578
Саратовская область,51.24.41,044.39.51,51.4113888888889,44.6641666666667,2442755
Республика Тыва,51.34.27,095.10.48,51.5741666666667,95.18,322644
Республика Северная Осетия - Алания,43.45.45,044.42.11,43.7625,44.7030555555556,731779
Костромская область,57.54.47,043.39.55,57.9130555555556,43.6652777777778,661031
Омская область,55.03.59,072.01.24,55.0663888888889,72.0233333333333,1955246
Астраханская область,47.00.35,047.25.07,47.0097222222222,47.4186111111111,1016036
Ставропольский край,45.45.55,043.11.03,45.7652777777778,43.1841666666667,2799655
Хабаровский край,48.05.28,135.35.53,48.0911111111111,135.598055555556,1320782
Республика Бурятия,52.05.55,106.15.29,52.0986111111111,106.258055555556,979019
Республика Саха (Якутия),70.41.10,127.21.42,70.6861111111111,127.361666666667,965567
Челябинская область,55.18.14,061.38.01,55.3038888888889,61.6336111111111,3501534
Республика Хакасия,53.11.25,090.05.38,53.1902777777778,90.0938888888889,535309
Новосибирская область,55.58.08,084.26.12,55.9688888888889,84.4366666666667,2793384
Республика Ингушетия,42.49.23,044.40.32,42.8230555555556,44.6755555555556,497377
Карачаево-Черкесская республика,43.58.55,042.07.57,43.9819444444444,42.1325,462275
Кабардино-Балкарская республика,43.28.36,044.09.46,43.4766666666667,44.1627777777778,829828
Амурская область,53.42.06,127.10.23,53.7016666666667,127.173055555556,786213
Камчатский край,61.00.29,170.30.28,61.0080555555556,170.507777777778,314667
Мурманская область,67.08.57,032.16.13,67.1491666666667,32.2702777777778,746675
Пензенская область,53.37.10,044.36.15,53.6194444444444,44.6041666666667,1318103
Ханты-Мансийский автономный округ - Югра,61.03.24,068.37.38,61.0566666666667,68.6272222222222,1674530
Севастополь,44.26.33,033.44.02,44.4425,33.7338888888889,463265
Приморский край,43.19.37,131.52.01,43.3269444444444,131.866944444444,1822699
